cargo_type,current_temp,safe_temp,max_temp_threshold,flight_duration_hours,flight_delay_minutes,viability_percentage
Solid Organs,4.37,5,8,7.0,910,65.56
Solid Organs,4.71,5,8,10.39,1290,53.61
Solid Organs,5.77,5,8,8.28,100,80.95
Solid Organs,5.73,5,8,3.36,648,74.1
Solid Organs,3.19,5,8,6.48,690,73.19
Solid Organs,5.4,5,8,5.53,1137,60.33
Solid Organs,11.06,5,8,10.32,729,49.05
Solid Organs,6.01,5,8,4.47,32,89.75
Solid Organs,4.29,5,8,8.49,1402,54.73
Solid Organs,4.97,5,8,5.95,306,80.22
Solid Organs,3.2,5,8,9.98,671,69.24
Solid Organs,5.69,5,8,8.41,1290,53.21
Solid Organs,11.47,5,8,5.66,141,76.97
Solid Organs,9.2,5,8,2.54,355,79.19
Solid Organs,3.08,5,8,6.48,1428,59.39
Solid Organs,10.32,5,8,10.64,1214,39.6
Solid Organs,3.62,5,8,9.36,1220,58.67
Solid Organs,6.67,5,8,4.09,468,76.29
Solid Organs,4.93,5,8,2.33,1224,63.62
Solid Organs,9.19,5,8,5.48,494,68.52
Solid Organs,5.72,5,8,9.49,1410,49.78
Solid Organs,11.62,5,8,5.99,121,76.75
Solid Organs,3.56,5,8,10.84,1037,60.5
Solid Organs,7.4,5,8,10.9,262,69.26
Solid Organs,4.42,5,8,10.98,1040,58.2
Solid Organs,7.93,5,8,10.31,578,60.66
Solid Organs,9.9,5,8,7.86,825,53.35
Solid Organs,8.61,5,8,7.24,186,76.12
Solid Organs,11.97,5,8,7.96,485,58.01
Solid Organs,8.24,5,8,4.03,337,78.09
Solid Organs,8.77,5,8,5.79,216,77.82
Solid Organs,6.89,5,8,2.22,649,73.94
Solid Organs,4.17,5,8,9.97,246,76.82
Solid Organs,5.0,5,8,8.53,688,67.05
Solid Organs,10.75,5,8,8.27,59,75.08
Solid Organs,6.09,5,8,3.41,1325,57.42
Solid Organs,5.53,5,8,10.0,716,63.32
Solid Organs,8.73,5,8,9.35,1293,43.94
Solid Organs,8.35,5,8,8.73,865,54.93
Solid Organs,5.59,5,8,11.04,866,58.67
Solid Organs,4.13,5,8,7.14,951,65.07
Solid Organs,11.53,5,8,5.13,931,50.75
Solid Organs,4.32,5,8,6.3,1357,57.78
Solid Organs,10.48,5,8,8.66,1200,41.87
Solid Organs,11.26,5,8,11.24,551,51.81
Solid Organs,5.47,5,8,8.8,570,68.41
Solid Organs,11.37,5,8,7.16,911,48.43
Solid Organs,11.66,5,8,10.92,1285,34.21
Solid Organs,6.7,5,8,3.12,1001,63.66
Solid Organs,10.39,5,8,3.29,701,63.65
Solid Organs,10.54,5,8,4.92,1094,49.34
Solid Organs,3.49,5,8,10.28,123,80.31
Solid Organs,11.42,5,8,2.17,1427,42.92
Solid Organs,4.59,5,8,8.79,1177,57.69
Solid Organs,11.22,5,8,11.03,298,59.85
Solid Organs,9.09,5,8,8.93,676,57.55
Solid Organs,9.24,5,8,5.9,211,77.07
Solid Organs,6.59,5,8,6.84,1322,52.05
Solid Organs,5.31,5,8,5.96,645,71.0
Solid Organs,9.93,5,8,3.18,723,64.15
Solid Organs,8.22,5,8,10.07,1185,46.58
Solid Organs,3.03,5,8,9.59,1360,57.52
Solid Organs,3.68,5,8,2.78,1150,67.3
Solid Organs,11.98,5,8,10.99,393,55.13
Solid Organs,4.27,5,8,8.08,420,75.21
Solid Organs,9.16,5,8,6.08,475,68.04
Solid Organs,5.61,5,8,7.42,1163,57.0
Solid Organs,5.0,5,8,7.74,666,68.61
Solid Organs,7.12,5,8,4.59,882,63.5
Solid Organs,9.65,5,8,11.76,903,46.54
Platelets,27.14,22,24,3.99,1055,54.27
Platelets,21.88,22,24,2.87,473,80.78
Platelets,24.89,22,24,7.56,274,74.43
Platelets,23.33,22,24,11.43,577,63.05
Platelets,24.61,22,24,5.51,296,77.92
Platelets,20.48,22,24,7.3,537,74.65
Platelets,25.12,22,24,10.54,855,54.14
Platelets,21.97,22,24,5.28,1097,62.48
Platelets,25.39,22,24,11.56,652,56.83
Platelets,27.96,22,24,7.63,196,72.16
Platelets,23.71,22,24,5.56,653,69.09
Platelets,23.22,22,24,8.0,124,80.33
Platelets,21.94,22,24,5.45,280,81.75
Platelets,21.71,22,24,6.3,333,79.27
Platelets,26.51,22,24,2.11,1130,56.59
Platelets,27.31,22,24,2.09,331,80.4
Platelets,20.58,22,24,7.21,356,78.81
Platelets,24.44,22,24,10.83,513,63.25
Platelets,27.24,22,24,6.7,1205,46.57
Platelets,21.35,22,24,11.32,915,60.18
Platelets,26.45,22,24,3.74,552,70.46
Platelets,24.83,22,24,9.2,584,63.17
Platelets,20.59,22,24,10.14,409,73.53
Platelets,23.11,22,24,9.32,377,71.41
Platelets,21.81,22,24,7.64,1160,58.73
Platelets,23.67,22,24,11.19,1013,53.28
Platelets,27.53,22,24,11.56,531,55.24
Platelets,21.67,22,24,3.83,630,75.57
Platelets,25.13,22,24,2.18,93,91.18
Platelets,21.63,22,24,8.58,963,61.86
Platelets,21.99,22,24,4.9,1238,60.03
Platelets,24.1,22,24,11.7,284,68.42
Platelets,20.37,22,24,2.01,1374,64.09
Platelets,24.95,22,24,6.19,893,59.73
Platelets,21.78,22,24,8.71,722,66.45
Platelets,22.79,22,24,10.57,944,57.37
Platelets,23.12,22,24,11.84,884,56.31
Platelets,22.5,22,24,5.98,136,84.31
Platelets,23.26,22,24,2.38,698,73.68
Platelets,26.76,22,24,9.66,357,64.95
Platelets,24.1,22,24,2.33,697,72.45
Platelets,22.78,22,24,10.88,269,72.31
Platelets,22.61,22,24,11.85,804,59.06
Platelets,25.97,22,24,9.87,673,57.54
Platelets,20.4,22,24,8.74,384,76.26
Platelets,24.23,22,24,9.95,3,79.21
Platelets,22.74,22,24,7.5,785,64.86
Platelets,20.15,22,24,2.45,1198,67.42
Platelets,22.41,22,24,10.86,270,72.92
Platelets,25.83,22,24,3.84,305,79.32
Platelets,25.73,22,24,10.02,751,55.92
Platelets,20.3,22,24,3.92,1103,67.27
Platelets,24.38,22,24,7.84,489,68.62
Platelets,26.35,22,24,4.18,601,68.26
Platelets,26.18,22,24,9.78,1108,47.2
Platelets,20.2,22,24,7.49,248,81.45
Platelets,25.61,22,24,10.85,1144,46.52
Platelets,25.86,22,24,9.28,645,59.38
Platelets,22.49,22,24,11.27,354,70.09
Platelets,21.51,22,24,11.54,782,62.19
Platelets,20.3,22,24,4.53,1439,60.23
Platelets,21.34,22,24,5.73,314,81.11
Platelets,22.1,22,24,3.35,414,81.35
Platelets,25.01,22,24,11.06,1104,48.49
Platelets,24.92,22,24,4.78,595,69.85
Platelets,20.2,22,24,4.36,1000,68.99
Platelets,27.67,22,24,9.11,1392,38.72
Platelets,25.81,22,24,2.63,176,86.56
Platelets,20.56,22,24,6.65,21,88.1
Platelets,26.64,22,24,5.95,688,62.03
Platelets,24.88,22,24,7.53,189,77.1
Platelets,20.03,22,24,7.88,351,78.7
Platelets,20.77,22,24,4.77,1168,64.07
Platelets,24.28,22,24,6.43,1106,55.92
Platelets,23.95,22,24,6.21,703,66.37
Platelets,20.95,22,24,8.88,88,82.49
Platelets,20.35,22,24,3.46,1332,63.29
Platelets,22.89,22,24,5.98,1367,54.24
Platelets,27.93,22,24,4.18,1314,45.89
Platelets,27.07,22,24,3.32,966,57.82
Platelets,24.03,22,24,5.62,227,80.56
Platelets,26.36,22,24,3.26,1154,54.59
Platelets,27.0,22,24,10.81,1343,39.36
Platelets,27.14,22,24,10.88,578,55.9
Platelets,22.45,22,24,10.28,236,74.59
Platelets,27.33,22,24,8.3,285,68.75
Platelets,26.05,22,24,11.37,511,59.21
Platelets,27.62,22,24,5.23,1393,43.5
Platelets,21.87,22,24,5.78,1170,60.59
Platelets,25.57,22,24,11.54,1268,43.44
Platelets,22.4,22,24,10.91,706,62.73
Platelets,25.26,22,24,3.86,1022,59.33
Platelets,25.57,22,24,6.82,1331,47.7
Platelets,21.08,22,24,5.78,409,78.95
Platelets,20.87,22,24,11.56,1165,56.38
Platelets,26.08,22,24,7.11,634,62.71
Platelets,23.24,22,24,5.05,343,79.1
Platelets,27.29,22,24,3.89,428,72.93
Platelets,26.42,22,24,10.65,917,49.63
Platelets,21.98,22,24,2.82,224,87.74
Platelets,27.78,22,24,9.3,378,63.04
Platelets,20.41,22,24,7.19,480,76.18
Platelets,27.27,22,24,10.36,75,71.76
Platelets,26.48,22,24,11.13,1276,41.54
Platelets,20.46,22,24,10.52,365,74.21
Platelets,23.03,22,24,5.17,450,76.18
Platelets,21.59,22,24,9.01,1027,60.17
Platelets,22.2,22,24,6.87,20,86.41
Platelets,23.54,22,24,3.76,115,88.15
Platelets,26.73,22,24,4.75,317,75.83
Platelets,22.0,22,24,5.06,202,84.49
Platelets,24.9,22,24,9.8,1253,47.32
Platelets,23.51,22,24,11.21,713,59.91
Platelets,20.83,22,24,9.43,420,73.85
Platelets,26.37,22,24,5.46,1352,47.07
Platelets,24.12,22,24,10.67,470,65.18
Platelets,23.04,22,24,6.52,1195,56.68
Platelets,23.68,22,24,10.89,427,66.76
Platelets,21.56,22,24,9.67,1164,56.89
Platelets,21.07,22,24,9.43,176,79.3
Platelets,21.68,22,24,4.82,1192,61.71
Platelets,22.15,22,24,7.9,1016,60.53
Platelets,22.69,22,24,10.39,927,58.16
Platelets,23.91,22,24,5.2,1105,58.37
Platelets,24.85,22,24,10.34,851,55.11
Platelets,20.62,22,24,7.93,102,83.95
Platelets,20.61,22,24,2.36,888,73.23
Platelets,23.16,22,24,11.36,147,74.15
Platelets,26.67,22,24,8.45,844,53.87
Platelets,20.63,22,24,5.22,1008,67.01
Platelets,21.84,22,24,7.95,442,73.87
Platelets,21.65,22,24,9.84,353,73.56
Platelets,23.59,22,24,10.92,1316,48.04
Platelets,21.56,22,24,4.67,302,82.83
Platelets,21.16,22,24,6.17,670,72.1
Platelets,27.73,22,24,10.09,1180,41.6
Platelets,25.7,22,24,2.16,732,69.1
Platelets,22.33,22,24,4.72,863,67.66
Platelets,22.41,22,24,8.97,94,80.51
Platelets,24.56,22,24,3.1,539,74.99
Platelets,20.31,22,24,8.18,731,69.61
Platelets,25.21,22,24,8.89,1308,46.57
Platelets,27.71,22,24,6.13,714,58.82
Platelets,26.48,22,24,7.75,1227,46.55
Platelets,25.22,22,24,9.67,619,60.78
Platelets,22.47,22,24,7.63,446,73.25
Platelets,26.41,22,24,11.17,911,49.1
Platelets,21.95,22,24,5.36,112,86.58
Platelets,21.45,22,24,3.46,206,87.58
Platelets,25.25,22,24,3.27,380,78.68
Platelets,27.65,22,24,4.45,318,75.14
Platelets,24.64,22,24,4.55,1257,54.27
Platelets,26.11,22,24,7.42,1304,46.24
Platelets,24.77,22,24,5.23,929,60.63
Platelets,22.83,22,24,3.04,670,74.01
Platelets,22.17,22,24,2.24,1109,65.75
Platelets,27.34,22,24,8.51,3,78.21
Platelets,23.04,22,24,4.64,1330,56.21
Platelets,20.55,22,24,7.92,140,83.07
Platelets,23.85,22,24,11.76,180,71.53
Platelets,20.22,22,24,4.11,427,82.0
Platelets,21.18,22,24,5.93,1390,57.7
Platelets,26.87,22,24,11.13,172,67.73
Platelets,27.12,22,24,5.78,583,64.5
Platelets,22.21,22,24,6.32,909,64.69
Platelets,21.35,22,24,5.61,326,80.98
Platelets,21.35,22,24,6.4,304,80.31
Platelets,21.67,22,24,3.01,890,70.57
Platelets,26.9,22,24,11.57,560,55.81
Platelets,23.63,22,24,7.17,1160,55.26
Platelets,24.23,22,24,2.54,116,90.1
Platelets,23.83,22,24,8.45,1344,49.68
Platelets,24.61,22,24,6.23,421,72.85
Platelets,20.41,22,24,11.02,232,76.6
Platelets,22.69,22,24,5.82,1075,60.79
Platelets,23.23,22,24,7.46,331,75.4
Platelets,26.46,22,24,4.59,223,79.85
Platelets,23.04,22,24,4.66,797,68.02
Platelets,21.12,22,24,4.73,173,86.65
Platelets,21.47,22,24,11.97,466,68.35
Platelets,22.61,22,24,3.12,1057,64.88
Platelets,26.62,22,24,2.56,1363,50.05
Platelets,21.46,22,24,2.91,239,87.55
Platelets,25.06,22,24,2.29,1289,55.65
Platelets,27.79,22,24,6.67,936,51.74
Platelets,27.33,22,24,4.68,1211,48.99
Platelets,23.97,22,24,6.66,333,75.61
Platelets,21.42,22,24,11.5,455,69.31
Platelets,27.3,22,24,3.82,1061,53.99
Platelets,25.17,22,24,9.24,513,64.3
Platelets,20.15,22,24,9.95,1408,55.55
Platelets,27.67,22,24,9.17,187,69.72
Platelets,27.4,22,24,11.1,950,45.99
Platelets,20.33,22,24,5.14,1261,62.74
Platelets,25.02,22,24,3.35,1435,51.16
Platelets,23.95,22,24,5.4,368,76.83
Platelets,26.69,22,24,10.49,1346,40.43
Platelets,27.98,22,24,6.83,636,59.29
Platelets,26.72,22,24,5.51,333,73.72
Platelets,27.71,22,24,3.84,1265,48.02
Platelets,27.28,22,24,6.49,505,65.28
Platelets,23.82,22,24,7.33,1381,50.28
Platelets,26.41,22,24,11.46,839,50.32
Platelets,25.97,22,24,9.55,7,77.62
Platelets,27.41,22,24,2.14,1102,55.34
Platelets,27.84,22,24,5.21,1128,49.03
Platelets,25.89,22,24,4.33,1375,49.14
Platelets,23.42,22,24,10.49,1327,48.72
Platelets,20.91,22,24,2.77,673,77.15
Platelets,26.35,22,24,4.68,801,61.59
Platelets,27.46,22,24,10.58,1367,38.06
Platelets,24.59,22,24,9.98,798,57.37
Platelets,23.22,22,24,7.3,946,60.55
Platelets,25.64,22,24,10.72,1327,43.09
Platelets,20.61,22,24,2.89,284,87.06
Platelets,22.34,22,24,8.06,318,76.08
Platelets,21.25,22,24,3.17,247,87.07
Platelets,23.49,22,24,2.66,104,90.72
Platelets,27.68,22,24,8.16,699,55.88
Platelets,26.34,22,24,7.96,361,68.7
Platelets,21.07,22,24,6.65,1156,61.5
Platelets,26.49,22,24,5.9,786,59.71
Platelets,26.46,22,24,5.9,1179,50.06
Platelets,22.55,22,24,4.56,852,67.73
Platelets,22.51,22,24,5.17,806,68.01
Platelets,26.7,22,24,10.8,1008,46.79
Platelets,21.43,22,24,3.86,1238,62.44
Platelets,20.37,22,24,7.01,572,74.41
Platelets,24.63,22,24,2.78,766,68.93
Platelets,25.7,22,24,6.85,84,80.88
Platelets,21.9,22,24,6.7,106,84.52
Platelets,26.85,22,24,6.74,648,61.41
Platelets,25.72,22,24,6.07,1110,53.1
Platelets,23.54,22,24,2.7,537,77.18
Platelets,24.9,22,24,8.03,1237,49.74
Platelets,22.78,22,24,10.92,1267,50.87
Platelets,21.57,22,24,5.02,553,75.86
Platelets,23.14,22,24,2.17,363,83.7
Platelets,26.91,22,24,10.91,169,68.17
Platelets,21.57,22,24,5.93,268,81.72
Platelets,21.65,22,24,11.27,120,77.18
Platelets,26.88,22,24,4.04,337,76.42
Platelets,23.37,22,24,4.81,689,69.89
Platelets,27.56,22,24,7.62,1252,43.58
Platelets,27.77,22,24,3.06,478,72.2
Platelets,22.14,22,24,11.36,1395,49.72
Platelets,25.14,22,24,11.09,182,70.46
Platelets,27.96,22,24,9.36,848,49.49
Platelets,21.38,22,24,5.79,576,74.47
Platelets,20.08,22,24,5.72,534,77.42
Platelets,26.4,22,24,4.95,935,57.47
Platelets,27.14,22,24,10.29,679,54.22
Platelets,24.94,22,24,10.64,148,72.59
Platelets,25.22,22,24,3.12,773,67.11
Platelets,22.44,22,24,8.37,364,74.26
Platelets,24.66,22,24,5.66,1292,52.09
Platelets,21.41,22,24,7.63,610,71.06
Platelets,23.75,22,24,4.38,1190,57.93
Platelets,21.7,22,24,2.84,361,84.07
Platelets,20.81,22,24,3.49,1218,64.53
Platelets,24.1,22,24,3.35,81,89.71
Platelets,26.63,22,24,5.49,14,85.49
Platelets,22.43,22,24,2.74,839,70.85
Platelets,20.34,22,24,10.88,227,76.99
Platelets,21.91,22,24,10.1,1049,57.79
Platelets,23.19,22,24,5.54,30,87.72
Platelets,24.87,22,24,9.12,895,55.7
Platelets,21.33,22,24,10.93,650,66.0
Platelets,25.61,22,24,10.71,1304,43.61
Platelets,25.37,22,24,10.51,834,54.11
